Отметка времени,"1. Название района республики, в котором Вы проживаете:","2. Название города (села или другого населенного пункта), в котором Вы проживаете",3. Тип населенного пункта,4. Ваш пол:,5. Ваш возраст (количество полных лет):,6. Уровень Вашего образования (ОДИН ответ):,7. Каков Ваш социальный статус (ОДИН ответ)?,8. Каков Ваш социальный статус (ОДИН ответ)?,9. Каков Ваш социальный статус (ОДИН ответ)?,10. Каков Ваш социальный статус (ОДИН ответ)?,11. Каков Ваш социальный статус (ОДИН ответ)?,12. Ваше семейное положение (ОДИН ответ):,13. Какое высказывание точнее описывает материальное положение Вашей семьи в настоящее время (ОДИН ответ)?,"14. Как Вы считаете, большинству людей можно доверять или в отношениях с людьми следует быть осторожными (ОДИН ОТВЕТ)?","15. Если говорить о людях, которые окружают лично Вас, большинству из них можно доверять или в отношениях с ними стоит быть осторожными?",[Телевидение],[Телевидение].1,[Объединенный] Телевидение,[Интернет-издания],[Интернет-издания].1,[Объединенный] Интернет-издания,[Социальные сети],[Социальные сети].1,[Объединенный] Социальные сети,[Друзья],[Друзья].1,[Объединенный] Друзья,[Газеты],[Газеты].1,[Объединенный] Газеты,[Радио],[Радио].1,[Объединенный] Радио,[Журналы],[Журналы].1,[Объединенный] Журналы,[Телеграм-каналы],[Телеграм-каналы].1,[Объединенный] Телеграм-каналы,"16. Вспомните, пожалуйста, названия двух-трех конкретных источников, из которых Вы обычно получаете новости (напишите)?","17. Скажите, пожалуйста, Вы слышали или не слышали выражение «фейковые новости» (ОДИН ответ)?","18. Что такое «фейковые новости»? Расскажите в двух-трех словах, как Вы понимаете это выражение (напишите)?","19. Скажите, сталкивались ли Вы за последний год с подобного рода сообщениями, и если да, то как часто (ОДИН ответ)?","20. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","21. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","22. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","23. Скажите, где Вы чаще всего за последний год сталкивались с выдуманными, фейковыми новостями (не более ТРЕХ ответов)?","24. Как Вы думаете, в тех источниках, где Вы обычно узнаете новости, фейковая, недостоверная информация встречается чаще или реже, чем везде?","25. Скажите, проверяете ли Вы или нет новости на достоверность, правдивость, прежде чем поделиться ими с друзьями?","26. Назовите, пожалуйста, хотя бы одну выдуманную, фейковую новость, которая Вам запомнилась больше всего (напишите)?","27. Вспомните, попадали ли Вы за последний год в такую ситуацию, когда Вы поверили какой-либо информации?","28. Скажите, а случалось ли такое, что Вы поделились какой-либо информацией с друзьями, родственниками, знакомыми?","29. Как Вы думаете, большинство людей могут или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","30. Как Вы думаете, Вы лично чаще всего можете или нет отличить выдуманные, фейковые новости от правдивых, достоверных (ОДИН ответ)?","31. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","32. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","33. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","34. По каким признакам можно отличить выдуманную, фейковую новость от правдивой, достоверной? На что полагаетесь лично Вы (напишите)?","35. Какие признаки, напротив, отличают правдивую, достоверную новость от выдуманной, фейковой? На что полагаетесь лично Вы (напишите)?",Великобритания,Германия,Китай,Латвия,Польша,Россия,Северная Корея,Сербия,США,Турция,Украина,Финляндия,Франция,Эстония
4.28.2023 11:58:41,23) Городской округ Саранск,Саранск,1. Саранск,1. Мужской,20,"4. Незаконченное высшее, высшее, ученая степень","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,3. Не доверяю,#NULL!,Не доверяю,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,,"2. Слышал, но подробностей не знаю",Неправда,3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",#NULL!,#NULL!,,5. Затрудняюсь ответить,1. Обязательно проверяю,Стараюсь в это не вникать,2. Скорее да,3. Скорее нет,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,Точный источник,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,3. В большинстве случаев не могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.4.2023 16:02:30,1) Ардатовский район,Ардатов,2. Города и пгт,2. Женский,50,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,,"1. Знаю, что это такое",Лженовости,2. По нескольку раз в неделю,1. Телевидение,3. Социальные сети,#NULL!,,5. Затрудняюсь ответить,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет","Была рассылка в вотсе, что женщины в Москве, а теперь еще и в Саранске ходят, предлагают понюхать духи, а там оказывается содержатся отравляющее вещество 😃 ( дословно не помню )",4. Определенно нет,2. Скорее да,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,полагаюсь на достоверные источники,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
4.26.2023 12:47:36,25,Саранск,1. Саранск,2. Женский,31,"4. Незаконченное высшее, высшее, ученая степень","8. Домохозяйка, нахожусь в отпуске по уходу за ребенком",#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю","Группа вк ""Русское обозрение"", телеграм-канал Бориса Корчевникова, ютуб (затрудняюсь назвать), рассказы знакомых","1. Знаю, что это такое",Обман,4. Несколько раз в год,3. Социальные сети,#NULL!,#NULL!,,5. Затрудняюсь ответить,2. Если есть возможность — проверяю,Связанные с сво,5. Затрудняюсь ответить,3. Скорее нет,3. В большинстве случаев не могут отличить,5. Затрудняюсь ответить,По степени своего доверия источнику,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.10.2023 19:28:56,17) Ромодановский район,Рузаевка,2. Города и пгт,2. Женский,50,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,3. Разведен (разведена),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",Выдуманные новости в интересах автора,3. По нескольку раз в месяц,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,"4. Друзья, родные, знакомые",,3. Скорее реже,1. Обязательно проверяю,,3. Скорее нет,3. Скорее нет,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,По источнику информации,2. Анализ источника информации,#NULL!,#NULL!,,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»
5.11.2023 9:14:32,15) Лямбирский район,с. Берсеневка,3. Села,1. Мужской,55,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",3. Затрудняюсь ответить,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,"Россия 1, Яндекс Новости, 1 канал","1. Знаю, что это такое",Ложная информация которую выдают за истинную и достоверную,2. По нескольку раз в неделю,1. Телевидение,5. Газеты,#NULL!,,4. Безусловно реже,2. Если есть возможность — проверяю,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,От Сми,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.11.2023 17:24:00,25,Саранск,1. Саранск,1. Мужской,33,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,,"1. Знаю, что это такое","Выдумка, обман, ввод в заблуждение",4. Несколько раз в год,3. Социальные сети,8. Телеграм-каналы,#NULL!,,2. Скорее чаще,2. Если есть возможность — проверяю,,3. Скорее нет,1. Безусловно да,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,"О фейковойговорят,не указывая точный источник",2. Анализ источника информации,#NULL!,#NULL!,,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»
5.7.2023 18:16:39,22) Чамзинский район,Чамзинка,2. Города и пгт,2. Женский,43,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),7. Затрудняюсь ответить,2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,Новости,"1. Знаю, что это такое",,6. Затрудняюсь ответить,3. Социальные сети,#NULL!,#NULL!,,4. Безусловно реже,2. Если есть возможность — проверяю,,1. Безусловно да,1. Безусловно да,1. Практически всегда могут отличить,5. Затрудняюсь ответить,"на телевидение, официальные каналы",2. Анализ источника информации,#NULL!,#NULL!,,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»,1. Практически всегда могут отличить «фейковые новости»
7.10.2023 17:16:27,3) Атяшевский район,Атяшево,3. Села,1. Мужской,51,"3. Среднее профессиональное (техникум, колледж)",2. Работаю по найму в коммерческой сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,2. В отношениях с людьми следует быть осторожными,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",0,#NULL!,#NULL!,1. Пользуюсь,3. Не доверяю,"Пользуюсь, но не доверяю",1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,яндекс новости,"1. Знаю, что это такое",Выдуманные новости,4. Несколько раз в год,3. Социальные сети,8. Телеграм-каналы,#NULL!,,2. Скорее чаще,1. Обязательно проверяю,,2. Скорее да,3. Скорее нет,3. В большинстве случаев не могут отличить,3. В большинстве случаев не могут отличить,На соответствие информации из федеральных каналов,2. Анализ источника информации,#NULL!,#NULL!,,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»
5.12.2023 18:07:55,17) Ромодановский район,Рузаквка,2. Города и пгт,1. Мужской,59,2. Начальное профессиональное (училище),"6. Пенсионер, инвалид на пенсии",#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"2. Слышал, но подробностей не знаю",Обман,1. Практически ежедневно,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,"4. Друзья, родные, знакомые",,1. Безусловно чаще,1. Обязательно проверяю,,2. Скорее да,4. Определенно нет,5. Затрудняюсь ответить,3. В большинстве случаев не могут отличить,На официальные источники,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.12.2023 14:50:57,16) Рузаевский район,П.Ромоданово,3. Села,1. Мужской,31,"4. Незаконченное высшее, высшее, ученая степень",3. Государственный или муниципальный служащий,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,"Since, nature","1. Знаю, что это такое",,5. Не сталкивался,"9. Не сталкивался с выдуманными, фейковыми новостями",#NULL!,#NULL!,,3. Скорее реже,2. Если есть возможность — проверяю,,1. Безусловно да,1. Безусловно да,2. В большинстве случаев могут отличить,1. Практически всегда могут отличить,На официальную информацию.,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить «фейковые новости»,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.9.2023 18:09:22,15) Лямбирский район,Лямбирь,3. Села,2. Женский,52,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,2. Доверяю,#NULL!,Доверяю,,"1. Знаю, что это такое","""Новости, не  cоответствующие действительности, искажающие  ее""",4. Несколько раз в год,3. Социальные сети,#NULL!,#NULL!,,4. Безусловно реже,2. Если есть возможность — проверяю,,2. Скорее да,3. Скорее нет,2. В большинстве случаев могут отличить,2. В большинстве случаев могут отличить,"На источники с пометкой , официально",2. Анализ источника информации,#NULL!,#NULL!,,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»
4.28.2023 13:38:07,22) Чамзинский район,Посёлок Комсомольский,2. Города и пгт,1. Мужской,22,"4. Незаконченное высшее, высшее, ученая степень","5. Студент, учащийся",#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,3. Не доверяю,#NULL!,Не доверяю,2. Доверяю,#NULL!,Доверяю,1. Пользуюсь,#NULL!,Пользуюсь,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,3. Не доверяю,#NULL!,Не доверяю,2. Доверяю,#NULL!,Доверяю,,"1. Знаю, что это такое",ложь,1. Практически ежедневно,1. Телевидение,"2. Интернет-издания (газеты, журналы, информационные порталы)",8. Телеграм-каналы,,3. Скорее реже,2. Если есть возможность — проверяю,,3. Скорее нет,2. Скорее да,4. Почти всегда не могут отличить,3. В большинстве случаев не могут отличить,на интернет источники,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.11.2023 14:53:04,15) Лямбирский район,с. Лямбирь,3. Села,1. Мужской,61,2. Начальное профессиональное (училище),2. Работаю по найму в коммерческой сфере,#NULL!,#NULL!,#NULL!,,4. Вдовец (вдова),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,,"1. Знаю, что это такое",распространение ложных вестей,4. Несколько раз в год,3. Социальные сети,#NULL!,#NULL!,,5. Затрудняюсь ответить,2. Если есть возможность — проверяю,,2. Скорее да,2. Скорее да,3. В большинстве случаев не могут отличить,3. В большинстве случаев не могут отличить,На зарекомендовавший себя источник информации,2. Анализ источника информации,#NULL!,#NULL!,,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»,2. В большинстве случаев могут отличить «фейковые новости»,4. Почти всегда не могут отличить «фейковые новости»,3. В большинстве случаев не могут отличить «фейковые новости»
7.11.2023 0:23:41,19) Темниковский район,Тарханы,3. Села,1. Мужской,60,"4. Незаконченное высшее, высшее, ученая степень",2. Работаю по найму в коммерческой сфере,#NULL!,#NULL!,#NULL!,,1. Женат (замужем),"4. На бытовую технику денег хватает, но автомобиль купить не можем",1. Большинству людей можно доверять,1. Большинству людей можно доверять,1. Пользуюсь,2. Доверяю,Пользуюсь и доверяю,0,#NULL!,#NULL!,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,РИП новости,"2. Слышал, но подробностей не знаю",,5. Не сталкивался,3. Социальные сети,#NULL!,#NULL!,,2. Скорее чаще,1. Обязательно проверяю,,3. Скорее нет,4. Определенно нет,5. Затрудняюсь ответить,2. В большинстве случаев могут отличить,На государственные порталы,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
5.2.2023 15:13:36,16) Рузаевский район,Ромоданово,3. Села,2. Женский,31,"4. Незаконченное высшее, высшее, ученая степень",1. Работаю по найму в бюджетной сфере,#NULL!,#NULL!,#NULL!,,2. Холост (не замужем),"3. На одежду, обувь денег хватает, но крупную бытовую технику купить не можем",2. В отношениях с людьми следует быть осторожными,1. Большинству людей можно доверять,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,1. Пользуюсь,#NULL!,Пользуюсь,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,0,#NULL!,#NULL!,"Одноклассники, Телеграмм канал","1. Знаю, что это такое",Ложная информация,2. По нескольку раз в неделю,"2. Интернет-издания (газеты, журналы, информационные порталы)",3. Социальные сети,8. Телеграм-каналы,,3. Скорее реже,"3. Все зависит от ситуации: иногда — проверяю, иногда — нет","Программа ""мой донос""",2. Скорее да,2. Скорее да,3. В большинстве случаев не могут отличить,2. В большинстве случаев могут отличить,Источники информации,2. Анализ источника информации,#NULL!,#NULL!,,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить,5. Затрудняюсь ответить
